structure_id,fire,damage,roof_material,side_material,ground_deck_material,elevated_deck_material,eaves,vent_screen,window_pane,patio_cover,fence,coordinate_x,coordinate_y
16950,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,169917.297339738,-422290.577143073
16951,eaton,no damage,asphalt,wood,masonry,wood,enclosed,n/a,single pane,non-combustible,non-combustible,173089.912535297,-422206.079370514
16952,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,172478.066767216,-422293.295669803
16953,eaton,destroyed (>50%),tile,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,177331.197701474,-424916.109540679
16954,eaton,no damage,tile,masonry,masonry,n/a,enclosed,<= 1/8 in,single pane,non-combustible,non-combustible,181281.902059201,-425201.358950578
16955,eaton,destroyed (>50%),tile,masonry,masonry,masonry,n/a,n/a,multi pane,combustible,non-combustible,170104.74154644,-423407.188072449
16956,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,n/a,n/a,combustible,170195.210454077,-423324.82849038
16957,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,single pane,combustible,combustible,177874.065976209,-425531.233287372
16958,eaton,destroyed (>50%),n/a,n/a,masonry,n/a,n/a,n/a,n/a,combustible,n/a,171699.581797482,-422117.837673545
16959,eaton,no damage,asphalt,masonry,masonry,wood,enclosed,> 1/8 in,multi pane,n/a,n/a,180152.430899758,-425071.162020674
16960,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,unscreened,multi pane,n/a,combustible,177874.126153729,-425568.011968927
16961,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,n/a,n/a,n/a,n/a,169688.424774047,-422143.700295383
16962,eaton,no damage,asphalt,wood,masonry,wood,n/a,unscreened,multi pane,combustible,combustible,179639.78235847,-425418.436258379
16963,eaton,no damage,tile,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,182655.190597373,-424721.139342792
16964,eaton,no damage,tile,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,n/a,combustible,174102.045329011,-423150.333636802
16965,eaton,no damage,asphalt,wood,n/a,wood,unenclosed,n/a,single pane,combustible,combustible,180143.6573589,-425445.067496421
16966,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,<= 1/8 in,single pane,n/a,non-combustible,180552.714153148,-425198.416777842
16967,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,<= 1/8 in,single pane,combustible,combustible,178598.021267872,-425442.752182169
16968,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,171107.037497961,-421919.969507208
16969,eaton,destroyed (>50%),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,177060.67925516,-425067.174505282
16970,eaton,no damage,asphalt,wood,wood,wood,unenclosed,> 1/8 in,single pane,combustible,n/a,176419.577348376,-424157.695833065
16971,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,170791.931074359,-423552.543606477
16972,eaton,no damage,tile,masonry,composite,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,176577.296751012,-425619.661198175
16973,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,170133.113541237,-422867.337128393
16974,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,n/a,n/a,170855.144481693,-423578.702321008
16975,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,combustible,non-combustible,170166.87802309,-423426.588647939
16976,eaton,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,177856.37174194,-425170.184379483
16977,eaton,affected (>0-10%),asphalt,wood,masonry,masonry,enclosed,n/a,multi pane,combustible,combustible,171751.925860463,-424698.402426889
16978,eaton,no damage,asphalt,wood,n/a,wood,enclosed,> 1/8 in,single pane,combustible,n/a,178106.903733203,-425294.189370131
16979,eaton,no damage,asphalt,masonry,masonry,wood,unenclosed,n/a,single pane,combustible,combustible,180318.655650317,-424953.916961566
16980,eaton,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,combustible,170153.22291846,-423269.448177341
16981,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,multi pane,combustible,combustible,180262.60400001,-424982.390213463
16982,eaton,no damage,asphalt,masonry,n/a,n/a,enclosed,n/a,multi pane,n/a,combustible,177908.404983571,-425500.435961472
16983,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,enclosed,n/a,single pane,combustible,n/a,174032.295944963,-423037.17396139
16984,eaton,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,173423.039299654,-422742.273182461
16985,eaton,no damage,asphalt,masonry,composite,composite,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,178884.458085643,-425039.115709437
16986,eaton,no damage,tile,masonry,n/a,n/a,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,177272.127773904,-425527.187598823
16987,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,171887.552403245,-421890.862651281
16988,eaton,no damage,asphalt,wood,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,n/a,176581.137493626,-424276.09644459
16989,eaton,destroyed (>50%),asphalt,masonry,n/a,wood,unenclosed,> 1/8 in,single pane,combustible,combustible,170907.922312084,-423506.809168678
16990,eaton,no damage,asphalt,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,combustible,combustible,180149.903433249,-425030.549734564
16991,eaton,no damage,asphalt,masonry,n/a,n/a,n/a,n/a,single pane,combustible,non-combustible,169521.105585342,-423166.916425992
16992,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,174715.083099946,-423944.505772632
16993,eaton,affected (>0-10%),tile,masonry,n/a,n/a,unenclosed,<= 1/8 in,multi pane,n/a,n/a,170632.60068269,-423370.402776031
16994,eaton,no damage,asphalt,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,n/a,combustible,177912.295565607,-425082.0275816
16995,eaton,no damage,masonry,wood,masonry,wood,n/a,n/a,multi pane,combustible,non-combustible,180342.808794907,-424997.1837827
16996,eaton,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,178034.739803245,-425138.884684272
16997,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,170737.901306533,-422062.302262045
16998,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,170101.50639301,-422870.305381848
16999,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,> 1/8 in,multi pane,combustible,combustible,180042.618320736,-425362.215531727
17000,eaton,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,> 1/8 in,n/a,n/a,combustible,171887.904430971,-422343.064553646
17001,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,169948.604575534,-422264.308404136
17002,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,174828.365178355,-423938.218091112
17003,eaton,destroyed (>50%),asphalt,masonry,n/a,masonry,n/a,n/a,n/a,n/a,combustible,170109.660757651,-422926.969406422
17004,eaton,no damage,tile,masonry,n/a,n/a,enclosed,n/a,n/a,n/a,non-combustible,177314.600990905,-425050.205098474
17005,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,unscreened,single pane,combustible,combustible,177825.224868883,-425596.951692628
17006,eaton,no damage,asphalt,wood,composite,wood,unenclosed,> 1/8 in,single pane,combustible,combustible,179946.644605273,-425368.518834664
17007,eaton,affected (>0-10%),asphalt,wood,n/a,n/a,n/a,n/a,single pane,n/a,combustible,177906.147949981,-425402.190000053
17008,eaton,no damage,asphalt,masonry,wood,n/a,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,177282.214217582,-425509.99172331
17009,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,combustible,176931.890103703,-425554.264064167
17010,eaton,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,170129.94468825,-423391.67768628
17011,eaton,no damage,asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,single pane,combustible,n/a,178915.982241335,-425163.236183042
17012,eaton,destroyed (>50%),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,181889.948397719,-424685.234408094
17013,eaton,no damage,asphalt,wood,wood,n/a,unenclosed,n/a,single pane,combustible,non-combustible,180346.721652825,-424958.328628466
17014,eaton,no damage,tile,wood,masonry,n/a,unenclosed,> 1/8 in,multi pane,n/a,combustible,179526.720197298,-425410.927502388
17015,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,multi pane,combustible,n/a,180322.150014503,-424891.914076751
17016,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,n/a,combustible,180723.05034244,-425293.388639675
17017,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,172055.77121337,-422419.258436127
17018,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,170654.521833279,-423219.2481925
17019,eaton,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,177200.15359537,-425704.021574693
17020,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,multi pane,n/a,combustible,177830.7297088,-425518.86458791
17021,eaton,no damage,asphalt,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,181513.291822757,-425371.381046033
17022,eaton,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,n/a,n/a,combustible,171818.05925561,-422310.039202645
17023,eaton,no damage,metal,masonry,n/a,n/a,n/a,> 1/8 in,n/a,n/a,n/a,181832.585605891,-424834.630325874
17024,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,unscreened,multi pane,n/a,non-combustible,179693.989542047,-425471.553024827
17025,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,n/a,combustible,170228.236286253,-422925.654022641
17026,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,> 1/8 in,single pane,n/a,non-combustible,177175.2512053,-424940.402935307
17027,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,173367.516293979,-422571.928946039
17028,eaton,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,multi pane,combustible,non-combustible,170163.360919975,-423302.93053434
17029,eaton,destroyed (>50%),asphalt,masonry,wood,n/a,unenclosed,> 1/8 in,single pane,n/a,n/a,170973.955631326,-423523.896120831
17030,eaton,no damage,masonry,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,non-combustible,182090.348448984,-424642.323671136
17031,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,unscreened,single pane,non-combustible,combustible,170329.847585566,-422953.153732952
17032,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,> 1/8 in,multi pane,n/a,n/a,169738.46410411,-422918.469697123
17033,eaton,no damage,masonry,masonry,n/a,masonry,enclosed,<= 1/8 in,multi pane,non-combustible,n/a,180958.271859565,-425448.709883831
17034,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,multi pane,combustible,combustible,180297.448387016,-424970.489087857
17035,eaton,no damage,tile,n/a,masonry,masonry,unenclosed,<= 1/8 in,multi pane,combustible,non-combustible,177750.724174388,-425198.842327844
17036,eaton,no damage,asphalt,wood,wood,n/a,enclosed,<= 1/8 in,multi pane,combustible,combustible,180328.181617077,-424916.832085898
17037,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,178940.875039424,-424970.689473409
17038,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,174026.964371731,-423126.925704965
17039,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,171861.980490739,-421896.939441446
17040,eaton,no damage,wood,wood,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,179759.620860635,-425437.854884172
17041,eaton,no damage,n/a,masonry,n/a,n/a,n/a,<= 1/8 in,multi pane,n/a,n/a,170277.186344121,-422940.716696754
17042,eaton,no damage,tile,masonry,masonry,masonry,unenclosed,<= 1/8 in,multi pane,n/a,combustible,177689.817339047,-425190.403581809
17043,eaton,no damage,asphalt,wood,masonry,wood,enclosed,> 1/8 in,single pane,n/a,combustible,180580.440460763,-425330.963578017
17044,eaton,no damage,n/a,wood,n/a,wood,unenclosed,n/a,n/a,n/a,combustible,179119.279915394,-425332.000675675
17045,eaton,no damage,masonry,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,combustible,n/a,181991.773981303,-424837.446724268
17046,eaton,destroyed (>50%),masonry,masonry,masonry,wood,unenclosed,n/a,multi pane,n/a,non-combustible,177324.27576507,-424950.482285669
17047,eaton,no damage,tile,masonry,composite,n/a,enclosed,> 1/8 in,single pane,combustible,combustible,182132.637862066,-424649.733375838
17048,eaton,no damage,asphalt,masonry,n/a,n/a,n/a,n/a,single pane,n/a,n/a,170128.338628522,-422906.906422965
17049,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,170070.903420877,-422870.329439364
17050,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,multi pane,combustible,n/a,181485.542669805,-425426.340449853
17051,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,combustible,n/a,171073.35256456,-423417.529180981
17052,eaton,destroyed (>50%),tile,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,n/a,170891.639449495,-423524.373679163
17053,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,combustible,n/a,170887.578836923,-423588.998176673
17054,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,170931.549650881,-422048.742243286
17055,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,single pane,n/a,non-combustible,174569.699865904,-424082.123615922
17056,eaton,no damage,tile,masonry,masonry,masonry,unenclosed,n/a,multi pane,n/a,n/a,176535.705626538,-424425.980888531
17057,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,170138.137435918,-423446.326314222
17058,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,171144.484996509,-421930.940866563
17059,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,n/a,non-combustible,179907.912899353,-425345.820448
17060,eaton,no damage,tile,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,non-combustible,181688.159398935,-425189.618822796
17061,eaton,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,177694.958712979,-425060.718455937
17062,eaton,no damage,asphalt,masonry,wood,n/a,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,177297.67927237,-425566.868988704
17063,eaton,no damage,tile,masonry,n/a,n/a,n/a,n/a,multi pane,n/a,non-combustible,177661.77880156,-425180.827095933
17064,eaton,no damage,masonry,masonry,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,non-combustible,182081.399093788,-424793.885792287
17065,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,n/a,n/a,n/a,combustible,178499.227332134,-425403.450349215
17066,eaton,no damage,asphalt,masonry,masonry,masonry,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,181438.700119289,-425397.896199882
17067,eaton,no damage,asphalt,wood,wood,n/a,unenclosed,n/a,single pane,n/a,combustible,180322.805772386,-424852.605915109
17068,eaton,no damage,tile,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,182032.103498882,-424792.294322759
17069,eaton,destroyed (>50%),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,180045.802148731,-425298.081530282
17070,eaton,no damage,tile,masonry,n/a,masonry,unenclosed,> 1/8 in,single pane,n/a,non-combustible,180897.258863884,-425241.577812536
17071,eaton,no damage,asphalt,masonry,n/a,masonry,enclosed,> 1/8 in,multi pane,n/a,combustible,170292.916910881,-423001.924736828
17072,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,173381.01205218,-422535.944073979
17073,eaton,destroyed (>50%),asphalt,wood,n/a,n/a,unenclosed,> 1/8 in,n/a,n/a,n/a,171031.281064145,-423517.821047984
17074,eaton,no damage,asphalt,wood,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,179008.467675126,-424999.434727481
17075,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,> 1/8 in,n/a,n/a,n/a,169803.559412548,-422238.417541508
17076,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,non-combustible,169641.240765453,-422147.52124108
17077,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,combustible,non-combustible,170713.08637054,-423534.483668938
17078,eaton,destroyed (>50%),asphalt,wood,n/a,n/a,n/a,n/a,single pane,combustible,n/a,169889.274552009,-422907.667941112
17079,eaton,destroyed (>50%),asphalt,vinyl,masonry,n/a,n/a,n/a,n/a,n/a,n/a,173424.285710458,-422758.434976678
17080,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,single pane,combustible,non-combustible,180430.130341907,-425091.311960712
17081,eaton,no damage,asphalt,masonry,wood,n/a,unenclosed,> 1/8 in,single pane,n/a,non-combustible,176165.30744718,-425092.014532689
17082,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,177814.795619629,-425257.389462395
17083,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,unscreened,single pane,combustible,n/a,180129.730745837,-425486.836139655
17084,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,n/a,169586.117159825,-423336.442360271
17085,eaton,no damage,asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,n/a,n/a,non-combustible,180187.36536997,-425003.587937623
17086,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,170601.76187705,-423426.1235174
17087,eaton,no damage,tile,masonry,n/a,wood,enclosed,n/a,single pane,n/a,non-combustible,180588.482805301,-425261.397831021
17088,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,combustible,non-combustible,177950.949484174,-425457.329113303
17089,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,n/a,n/a,n/a,non-combustible,169678.145002439,-422204.924964037
17090,eaton,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,combustible,n/a,171589.035852579,-422056.578359162
17091,eaton,no damage,asphalt,wood,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,combustible,173509.409546489,-422837.87525872
17092,eaton,no damage,asphalt,wood,masonry,wood,enclosed,unscreened,single pane,n/a,n/a,180572.311364593,-425091.592930045
17093,eaton,no damage,tile,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,combustible,182304.832115319,-424771.572933583
17094,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,single pane,n/a,non-combustible,169500.65786941,-423323.569057733
17095,eaton,no damage,asphalt,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,non-combustible,non-combustible,172911.647495208,-422015.365064364
17096,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,177770.891384255,-425040.975303434
17097,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,170742.801046361,-423501.037224853
17098,eaton,no damage,masonry,masonry,masonry,composite,enclosed,n/a,multi pane,combustible,n/a,173390.142064089,-422509.967798373
17099,eaton,no damage,asphalt,masonry,masonry,n/a,enclosed,n/a,multi pane,n/a,n/a,179101.211118709,-424895.337588627
17100,eaton,no damage,asphalt,masonry,n/a,wood,unenclosed,> 1/8 in,single pane,n/a,combustible,170310.535720792,-423002.497384813
17101,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,n/a,n/a,n/a,170972.958139933,-422011.544404222
17102,eaton,no damage,tile,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,non-combustible,non-combustible,181623.499513561,-425265.07014489
17103,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,non-combustible,170140.416413001,-423315.20336297
17104,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,multi pane,combustible,non-combustible,178646.676663397,-425440.907275606
17105,eaton,affected (>0-10%),masonry,wood,n/a,wood,enclosed,> 1/8 in,multi pane,n/a,non-combustible,180808.564880509,-425156.317385767
17106,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,n/a,n/a,n/a,170765.315908651,-422079.15615399
17107,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,n/a,n/a,n/a,169950.912801509,-422240.953004064
17108,eaton,destroyed (>50%),metal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,173099.356929416,-422135.542136373
17109,eaton,no damage,asphalt,masonry,n/a,wood,n/a,n/a,multi pane,n/a,n/a,177011.818151588,-425411.776192341
17110,eaton,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,multi pane,n/a,combustible,180312.731952191,-425027.904825505
17111,eaton,no damage,tile,masonry,masonry,wood,enclosed,> 1/8 in,multi pane,n/a,combustible,181741.826995405,-424969.85841847
17112,eaton,no damage,asphalt,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,combustible,non-combustible,178780.186716623,-425138.836872175
17113,eaton,affected (>0-10%),asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,178837.249444949,-425098.070928225
17114,eaton,no damage,asphalt,masonry,n/a,n/a,n/a,n/a,single pane,non-combustible,non-combustible,170269.324285876,-422982.153148666
17115,eaton,no damage,masonry,masonry,n/a,n/a,enclosed,<= 1/8 in,n/a,n/a,non-combustible,180816.533673685,-425137.573579084
17116,eaton,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,174102.573087188,-423017.081756182
17117,eaton,affected (>0-10%),asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,combustible,combustible,177256.252955753,-425547.62695113
17118,eaton,no damage,tile,masonry,masonry,n/a,enclosed,n/a,multi pane,combustible,n/a,178925.80290537,-425015.732431492
17119,eaton,no damage,asphalt,vinyl,masonry,wood,unenclosed,unscreened,single pane,n/a,n/a,180558.97945837,-425093.275574716
17120,eaton,no damage,asphalt,wood,masonry,masonry,enclosed,unscreened,multi pane,combustible,combustible,180549.473794334,-425251.923604993
17121,eaton,no damage,asphalt,masonry,masonry,wood,unenclosed,n/a,multi pane,combustible,non-combustible,178957.507936131,-425168.499401584
17122,eaton,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,169965.15613199,-422205.775156498
17123,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,single pane,combustible,combustible,180372.021137611,-425091.173241377
17124,eaton,destroyed (>50%),n/a,masonry,masonry,masonry,n/a,n/a,n/a,n/a,combustible,170174.888085254,-423397.529756397
17125,eaton,no damage,n/a,masonry,masonry,n/a,enclosed,n/a,n/a,n/a,non-combustible,181443.023153507,-425324.957758056
17126,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,multi pane,n/a,non-combustible,170665.566130866,-423329.463049257
17127,eaton,no damage,tile,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,177923.372254663,-425588.04182365
17128,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,170734.198293636,-422031.725832526
17129,eaton,no damage,asphalt,wood,masonry,wood,enclosed,> 1/8 in,multi pane,n/a,non-combustible,177000.20634996,-424219.258430285
17130,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,single pane,n/a,combustible,179898.973656466,-425555.384429423
17131,eaton,no damage,asphalt,masonry,n/a,n/a,n/a,n/a,single pane,combustible,non-combustible,169523.460605347,-423186.945751211
17132,eaton,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,> 1/8 in,n/a,n/a,non-combustible,171988.907232333,-422386.625850203
17133,eaton,no damage,asphalt,masonry,n/a,masonry,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,170217.246022583,-422898.085166181
17134,eaton,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,n/a,combustible,non-combustible,170120.964763091,-423456.844571615
17135,eaton,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,173549.966919695,-422865.020043321
17136,eaton,no damage,asphalt,masonry,masonry,masonry,unenclosed,n/a,single pane,n/a,n/a,177099.232309886,-425143.651135579
17137,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,n/a,n/a,non-combustible,169938.551502531,-422953.462148923
17138,eaton,no damage,tile,masonry,masonry,n/a,unenclosed,> 1/8 in,multi pane,non-combustible,non-combustible,182418.34354143,-424656.959804293
17139,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,171105.556346564,-421934.623032238
17140,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,171928.942916137,-422035.685870063
17141,eaton,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,170906.974805444,-422125.481216352
17142,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,single pane,combustible,combustible,171025.996966491,-423651.025426239
17143,eaton,no damage,asphalt,masonry,composite,masonry,unenclosed,> 1/8 in,multi pane,n/a,n/a,179573.259235101,-425411.726612912
17144,eaton,no damage,tile,masonry,n/a,n/a,enclosed,n/a,n/a,n/a,n/a,172379.700097897,-422321.810378036
17145,eaton,no damage,asphalt,wood,masonry,n/a,unenclosed,> 1/8 in,single pane,n/a,non-combustible,171743.70122753,-424684.240077682
17146,eaton,no damage,asphalt,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,combustible,176600.033292021,-424309.145473229
17147,eaton,no damage,metal,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,n/a,n/a,176991.926616143,-425453.008921558
17148,eaton,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,single pane,n/a,combustible,177088.608565583,-425064.648092261
17149,eaton,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,171664.958697856,-421987.132214047
17150,eaton,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,n/a,180695.340067379,-425287.096659414
17151,eaton,major (25-50%),asphalt,masonry,masonry,wood,enclosed,> 1/8 in,single pane,n/a,combustible,176562.116287329,-424358.266866565
17152,eaton,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,170187.407868291,-422931.057080688
